mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2,degree,pair_gene1,pair_gene2
pmtcoa[c],RC07758,RCC0126,P/C,0.399842366054898,,h[c] + pmtcoa[c] + malcoa[c]  -> co2[c] + coa[c] + 3oodcoa[c] ,h2o[c] + nad[c] + coa[c] + o2[c] + stcoa[c]  -> h[c] + nadh[c] + accoa[c] + h2o2[c] + pmtcoa[c] ,11,x.elo_1_met13_lib4,x_dhs_28_met9_lib4
malcoa[c],RCC0019,RCC0063,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + strdnccoa[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + eicostetcoa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
malcoa[c],RCC0019,RCC0064,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + lnlncgcoa[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + dlnlcgcoa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
malcoa[c],RCC0019,RCC0070,P/C,0.761844021227047,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + fa16p1n7coa[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + vacccoa[c] ,13,x.pod_2_met11_lib4,x_elo_5_met11_lib1
malcoa[c],RCC0019,RCC0072,P/C,0.761844021227047,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + fa13p0iso[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + fa15p0iso[c] ,13,x.pod_2_met11_lib4,x_elo_5_met11_lib1
malcoa[c],RCC0019,RCC0073,P/C,0.761844021227047,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + fa15p0iso[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + fa17p0iso[c] ,13,x.pod_2_met11_lib4,x_elo_5_met11_lib1
malcoa[c],RCC0019,RCC0124,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,9 h[c] + 6 nadph[c] + 3 malcoa[c] + stcoa[c]  -> 3 h2o[c] + 3 co2[c] + 6 nadp[c] + 3 coa[c] + lgnccoa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
malcoa[c],RCC0019,RCC0210,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,6 h[c] + 4 nadph[c] + 2 malcoa[c] + lgnccoa[c]  -> 2 h2o[c] + 2 co2[c] + 4 nadp[c] + 2 coa[c] + fa28p0coa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
methamp[c],RC02037,RCC0021,P/C,0.569600818331265,,amet[c] + ethamp[c]  -> h[c] + ahcys[c] + methamp[c] ,2 amet[c] + methamp[c]  -> 2 h[c] + 2 ahcys[c] + cholp[c] ,2,x.pmt_1_met2_lib2,x_pmt_2_met13_lib6
ins[c],RC01863,RC01560,P/C,0.508164616176076,,pi[c] + ins[c]  <=> r1p[c] + hxan[c] ,h[c] + h2o[c] + adn[c]  -> nh4[c] + ins[c] ,4,x.pnp_1_met4_lib1,x_adah_1_met4_lib2
