mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2
amp[c],RC00235,RCC0150,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + Rtotal2[c]  -> amp[c] + ppi[c] + Rtotal2coa[c] 
amp[c],RC00235,RCC0151,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + Rtotal4[c]  -> amp[c] + ppi[c] + Rtotal4coa[c] 
amp[c],RC00235,RCC0152,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + Rtotal5[c]  -> amp[c] + ppi[c] + Rtotal5coa[c] 
amp[c],RC00235,RC00181,P/C,0.039003393555459,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,h[c] + amp[c] + h2o[c]  -> nh4[c] + imp[c] 
amp[c],RC01049,RC00127,P/C,0.0452182645931186,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + amp[c]  <=> 2 adp[c] 
amp[c],RC01049,RC01083,P/C,0.0324587528362111,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,dcamp[c]  -> amp[c] + fum[c] 
amp[c],RC01049,RC00578,P/C,0,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + h2o[c] + gln-L[c] + asp-L[c]  -> h[c] + amp[c] + ppi[c] + glu-L[c] + asn-L[c] 
amp[c],RC01049,RC01280,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + hdca[c]  -> amp[c] + ppi[c] + pmtcoa[c] 
amp[c],RC01049,RC00185,P/C,0.0482315810997998,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + adn[c]  -> adp[c] + h[c] + amp[c] 
amp[c],RC01049,RC00183,P/C,-0.0245804863881474,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,amp[c] + h2o[c]  -> pi[c] + adn[c] 
amp[c],RC01049,RC00190,P/C,0.0871093207082548,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,prpp[c] + ade[c]  -> amp[c] + ppi[c] 
amp[c],RC01049,RC01230,P/C,0,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + nh4[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + gmp[c] 
amp[c],RC01049,RC01231,P/C,0,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + h2o[c] + gln-L[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + glu-L[c] + gmp[c] 
amp[c],RC01049,RCC0022,P/C,0.0358309282053368,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] 
amp[c],RC01049,RC08733,P/C,0.0301275936865179,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + thcholstoic[c]  -> amp[c] + ppi[c] + cholcoar[c] 
amp[c],RC01049,RCC0055,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + ddca[c]  -> amp[c] + ppi[c] + ddcacoa[c] 
amp[c],RC01049,RCC0056,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + ttdca[c]  -> amp[c] + ppi[c] + tdcoa[c] 
amp[c],RC01049,RC03595,P/C,0,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + h2o[c] + seln[c]  -> amp[c] + pi[c] + selnp[c] 
amp[c],RC01049,RC02918,P/C,-0.0839769515153896,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + tyr-L[c] + trnatyr[c]  -> amp[c] + ppi[c] + tyrtrna[c] 
amp[c],RC01049,RC03659,P/C,0.0553438801464371,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + met-L[c] + trnamet[c]  -> amp[c] + ppi[c] + mettrna[c] 
amp[c],RC01049,RC05577,P/C,0.0228971086600026,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + asp-L[c] + trnaasp[c]  -> amp[c] + ppi[c] + asptrna[c] 
amp[c],RC01049,RC03650,P/C,0.0569709083166456,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + cys-L[c] + trnacys[c]  -> amp[c] + ppi[c] + cystrna[c] 
amp[c],RC01049,RC05578,P/C,0.00294030346977135,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + glu-L[c] + trnaglu[c]  -> amp[c] + ppi[c] + glutrna[c] 
