,WBID,whole_dataset_geTMM,asel_geTMM,aser_geTMM
17386,WBGene00021646,2.844918452,2.985750037,3.748554683
17387,WBGene00021647,4.810162382,4.847921122,5.931116489
17388,WBGene00021648,1.223344594,1.172614122,0.907001479
17389,WBGene00021649,1.083271977,0.669858692,0.699100756
17390,WBGene00021650,0.904161129,0.820714481,0.690244599
17391,WBGene00021651,0.282622199,0.118758557,0.09143139
17392,WBGene00021653,0.342188599,0.155578837,0.288258624
17393,WBGene00021654,1.815521596,2.928798511,2.190960601
17394,WBGene00021655,2.606607465,1.178022074,3.411661973
17395,WBGene00021656,0.199806728,0,0.136614719
17396,WBGene00021657,2.345357008,0.919023051,1.212679682
17397,WBGene00021658,0.81713972,0.649189538,0.768469038
17398,WBGene00021660,2.463219485,1.380679472,2.911850435
17399,WBGene00021661,0.960544223,0.509106707,0.682593815
17400,WBGene00021662,0.06591696,0,0.248591754
17401,WBGene00021664,0.466070856,0.275415763,0.439036557
17402,WBGene00021666,0.239503824,0.382259534,0.440556526
17403,WBGene00021667,0.363122292,0.477631238,0.382950884
17404,WBGene00021668,0.018221605,0,0
17405,WBGene00021671,0.905125563,0.725997606,0.294476645
17406,WBGene00021672,0.160357627,0.240451752,0
17407,WBGene00021673,0.646590454,0.837394781,0.664426028
17408,WBGene00021675,1.241583824,1.157382962,1.063518329
17409,WBGene00021676,0.494924267,0,0.222654311
17410,WBGene00021677,3.4369344,4.778051734,3.691844935
17411,WBGene00021678,0.52556467,0.716322362,0.314576324
17412,WBGene00021679,1.702266468,0.107576457,1.383031314
17413,WBGene00021681,4.361410915,3.970811568,2.624989789
17414,WBGene00021682,2.211229939,1.130994858,2.535082968
17415,WBGene00021683,2.540423384,2.801353248,1.127785851
17416,WBGene00021685,4.52807805,4.865122062,3.065221584
17417,WBGene00021686,3.885830434,1.760804502,4.023052663
17418,WBGene00021687,2.97787232,3.559102152,3.347569781
17419,WBGene00021689,3.341385876,1.201081504,1.203126383
17420,WBGene00021690,3.100110081,2.762062606,2.670558436
17421,WBGene00021691,5.511248636,5.524944416,6.913414287
17422,WBGene00021692,3.498869427,3.772254007,4.542763371
17423,WBGene00021693,2.672983391,7.380438984,8.343183119
17424,WBGene00021694,0.940213159,2.929675883,0.975202482
17425,WBGene00021697,5.550150172,5.369890418,5.330130036
17426,WBGene00021698,3.975994875,1.688035026,4.509203725
17427,WBGene00021700,0.35984411,0.29074644,0.078998968
17428,WBGene00021701,0.413366107,0.146494493,0.050796464
17429,WBGene00021702,3.943230219,1.267562156,3.326741296
17430,WBGene00021703,0.177764138,0,0
17431,WBGene00021704,0.57013772,0.482279287,0.423727747
17432,WBGene00021706,0.091439666,0,0.441373385
17433,WBGene00021707,0.024558337,0,0
17434,WBGene00021708,0.026637605,0,0
17435,WBGene00021709,0.695961301,0.333400954,0.487442367
17436,WBGene00021710,1.067535395,2.493248796,1.148114892
17437,WBGene00021711,0.113289928,0.037105351,0
17438,WBGene00021713,0.059286334,0,0
17439,WBGene00021714,1.326109698,0.197034449,0.99977681
17440,WBGene00021715,1.700991137,0.769993289,0.728953766
17441,WBGene00021716,0.150024519,0,0
17442,WBGene00021718,0.048419506,0,0
17443,WBGene00021719,0.044906811,0,0
17444,WBGene00021720,0.478591823,0.741931283,0.194437813
17445,WBGene00021721,0.021925397,0,0
17446,WBGene00021722,0.322369113,0.395713582,0.452403291
17447,WBGene00021723,0.007342629,0,0
17448,WBGene00021724,0.007659428,0,0
17449,WBGene00021725,0.483163014,0,0
17450,WBGene00021726,1.269590822,0.321873639,0.901184742
17451,WBGene00021727,0.145593878,0,0.193055747
17452,WBGene00021728,0.320498239,0.175497988,0.239599244
17453,WBGene00021729,0.080588037,0,0
