rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data
RCC0178,asp-L[c] + pepX[c]  -> h2o[c] + pepasp[c] ,0,0,0,0,0.0553918879983391,0,0,0,0,0.0672343470275636,0,0.0526802941366909,0,0.187986874305245,0,0.629865994618337,0,5.58980031368392,0,306.591973973869,0,0,0,0,0,0,0.0115715191411914,0,0.187986874302536,0,0.629865994526302,0,1.87636411957979,0,8.21031116424187,0,0,0,0,0
RCC0179,asn-L[c] + pepX[c]  -> h2o[c] + pepasn[c] ,0,0,0,0,0,0,0,0,0,0,0,0.0526802941290262,0,0.187986874305278,0,0.629865994628744,0,5.58980031369321,0,305.633920261131,0,0,0,0,0,0,0.0115715191411869,0,0.187986874303261,0,0.629865994525406,0,1.8763641195794,0,8.19736957137868,0,0,0,0,0
RCC0180,akg[c] + o2[c] + pepasn[c]  -> co2[c] + succ[c] + pepasn3oh[c] ,0,0,0,0,0.0553918879983391,0,0,0,0,0.0672343470275636,0,0.0526802941283991,0,0.187986874305225,0,0.629865994617717,0,5.58980031368924,0,306.591973973874,0,0,0,0,0,0,0.0115715191413996,0,0.187986874301734,0,0.629865994527397,0,1.87636411958011,0,8.21031116424187,0,0,0,0,0
RM07136,nad[m] + sl-L[m]  <=> nadh[m] + h[m] + 3spyr[m] ,0,0,0,0,0,0,0,0,0,0,-0.0289747129237991,-0,-0.114880867630836,-0,-0.123793457926243,-0,-0.3848123850184,-0,-13.7558230709885,-0,0,0,0,0,0,-0.00636017018495777,-0,-0.114880867628042,-0,-0.123793457908763,-0,-0.2589226797067,-0,-0.446597331113026,-0,0,0,0,0,0
RC01393,h[c] + hpyr[c]  -> co2[c] + gcald[c] ,0,0,0,0,0,0,0,0,0,0,0,0.0199411337109588,0,0.0660178408764839,0,0.16502691871267,0,1.54611498038865,0,144.812769354536,0,0,0,0,0,0,0.00437807370164491,0,0.06601784087495,0,0.165026918702702,0,0.699274662609732,0,4.60126059366471,0,0,0,0,0
RCC0181,atp[c] + selcys[c] + trnasec[c]  -> amp[c] + ppi[c] + sectrna[c] ,0,0,0,0,0,0,0,0,0,0,0,0.00522260857563927,0,0.0199040140131299,0,0.0170903644739246,0,0.0306824208785922,0,1.31457349039377,0,0,0,0,0,0,0.0011403364645299,0,0.0199040140129046,0,0.0170903644720341,0,0.0279758472170443,0,0.0437806780521434,0,0,0,0,0
RMC0183,fum[m] + rq9h2[m]  -> succ[m] + rq9[m] ,0.0188835657320777,0.00573318826723866,0.00873248667819383,0.00916052739146116,0,0.0221252498979313,0.00999999999976353,0.00999999999999999,0.00999999999987722,0,0.00999999999976353,3.06572895768819,0.00999999999976353,19.3989781645193,0.00999999999999091,1.91289254934021,0.00999999999976353,56.4329821696085,0,1000,1,1,1,1,0,0.00999999999976353,0.691400379233155,0.00999999999976353,13.507743788099,0.00999999999999999,1.91289254925705,0.00999999999987722,11.4888655225681,0,21.0048696183619,1,1,1,1,0
RMC0184,nadh[m] + 5 h[m] + rq9[m]  -> 4 h[c] + nad[m] + rq9h2[m] ,0.0188835657320777,0.00573318826723866,0.00873248667819383,0.00916052739146116,0,0.0221252498979313,0.00999999999976353,0.00999999999999999,0.00999999999987722,0,0.00999999999976353,3.06572895768819,0.00999999999976353,19.3989781645193,0.00999999999999091,1.91289254934021,0.00999999999976353,56.4329821696085,0,1000,1,1,1,1,0,0.00999999999976353,0.691400379233155,0.00999999999976353,13.507743788099,0.00999999999999999,1.91289254925705,0.00999999999987722,11.4888655225681,0,21.0048696183619,1,1,1,1,0
RC02055,h[c] + ps[c]  -> co2[c] + pe[c] ,0.00803977052463472,0.00523811022802828,0.00873248667819383,0.00916052739157344,0,0.00941993342271136,0.00913646994262637,0.01,0.00999999999999979,0,0,0.0288120543909319,0,0.0687800393626021,0,0.407393196641489,0,6.33664127509731,0,216.192623750327,0,0,0,0,0,0,0.0136555249044277,0,0.0687800393619781,0,0.407393196624993,0,1.62431279121446,0,6.06923616564627,0,0,0,0,0
RC00383,h2o[c] + ppcoa[c]  -> h[c] + coa[c] + ppa[c] ,0,0,0.00873248667819383,0,0,0,0,0.00999999999999999,0,0,0,0.357283549890352,0,1.81937366518987,0,0.750855991427673,0,18.1768510194962,0,611.739958008596,0,0,0,0,0,0,0.0760715516191989,0,1.81937366517743,0,0.750855991330125,0,3.22446906450894,0,18.643917578553,0,0,0,0,0
RC01931,cyan[c] + tsul[c]  <=> h[c] + so3[c] + tcynt[c] ,0,0,0,0,0,0,0,0,0,0,-0.0425290962185233,0.0252062325992176,-0.139182589630035,0.0808658621310382,-1000,0.0598517806557114,-1000,0.0804201926893524,-1000,13.8515716989008,0,0,0,0,0,-0.00934224526822569,0.00553788443589418,-0.139182589626281,0.0808658621291261,-20.6774378390943,0.0598517806541504,-25.5537635522772,0.0714430557016059,-97.0383884244555,0.450287631443416,0,0,0,0,0
RC03106,mercppyr[c] + cyan[c]  -> h[c] + pyr[c] + tcynt[c] ,0,0,0,0,0,0,0,0,0,0,0,0.0425290963297173,0,0.132510946284295,0,1000,0,1000,0,1000,0,0,0,0,0,0,0.00934224527901717,0,0.132510946282741,0,20.6774378390953,0,25.5537635522844,0,97.0806192261169,0,0,0,0,0
